dataset, model, explainer, RC, FA, RA, SA, SRA, PGU, PGI, RIS, ROS
compas,ann,lime,,,,,,0.04846085,0.19981319,32.5667179299525,8838.730608300153
compas,ann,lime,,,,,,0.45078462,0.21142994,432.9194868760093,191125.03577449557
compas,ann,lime,,,,,,0.0020210731,0.010662854,3.310428330790903,560.7742324174188
compas,ann,lime,,,,,,0.40282378,0.49907628,172.68180765794202,10295.997900091292
compas,ann,lime,,,,,,0.51685536,0.41388574,317.71331815120374,5051.52363583269
compas,ann,lime,,,,,,0.67642343,0.6423358,35.337530242736186,98478.3157761711
compas,ann,lime,,,,,,0.5136594,0.594302,214.02361849883005,1337.58962719026
compas,ann,lime,,,,,,0.036521252,0.17960541,3.828417622965894,813.8743470614897
compas,ann,lime,,,,,,0.2919833,0.29769787,132.60474950654677,646.3011143480236
compas,ann,lime,,,,,,0.12927689,0.33257288,188.24790393440614,12103.369514211505
compas,ann,lime,,,,,,0.82740444,0.59967804,10.976018209260422,6433.1289342215105
compas,ann,lime,,,,,,0.5153744,0.45116705,120.75387769957136,4487.107967969461
compas,ann,lime,,,,,,0.1849277,0.29821745,123.11158960484593,6222.06391308042
compas,ann,lime,,,,,,0.66108483,0.44595832,40.13292703222711,805053.0624068166
compas,ann,lime,,,,,,0.46327218,0.42006788,148.93631577667733,5389.632164806312
compas,ann,lime,,,,,,0.36551264,0.4242464,46.4572747013264,2402.549792147335
compas,ann,lime,,,,,,0.8296468,0.40845138,42.54954724535032,8505.921462447159
compas,ann,lime,,,,,,0.5076153,0.2854071,36.22597253982683,2115.853226242859
compas,ann,lime,,,,,,0.46948802,0.71649605,244.94608382084007,7600.394133691381
compas,ann,lime,,,,,,0.5455295,0.572451,44.81845289559952,1943.4921742687911
compas,ann,lime,,,,,,0.42968947,0.5254673,394.43704941690805,38427.70695164383
compas,ann,lime,,,,,,0.010756171,0.17497441,6.284399838935363,630.9192909690473
compas,ann,lime,,,,,,0.03597188,0.17080472,4.299774366972475,838.3966171489715
compas,ann,lime,,,,,,0.1695986,0.087297425,322.7179655193095,24762.556116254254
compas,ann,lime,,,,,,0.17878099,0.27845412,57.222409800642126,4473.893133240464
compas,ann,lime,,,,,,0.20499212,0.46606928,55.37655973555306,1697.118840436301
compas,ann,lime,,,,,,0.63705003,0.24499436,104.49581992733222,1698.1335044736197
compas,ann,lime,,,,,,0.77775264,0.6750909,49.78204801067983,112263.61782810447
compas,ann,lime,,,,,,0.01229715,0.03327946,14.20535481038872,292.82894513381905
compas,ann,lime,,,,,,0.011902799,0.053976443,27.340135347689316,948.5653189372941
compas,ann,lime,,,,,,0.23009126,0.13148655,313.5068027735551,116614.87428107571
compas,ann,lime,,,,,,0.54381603,0.545593,97.36479897114357,17201.88624298931
compas,ann,lime,,,,,,0.4780327,0.619539,295.5975384649201,26687.285636353008
compas,ann,lime,,,,,,0.6436603,0.3103775,71.17029562493452,2002.387554129806
compas,ann,lime,,,,,,0.052142214,0.08057009,37.920400665692256,5154.430505183434
compas,ann,lime,,,,,,0.2974632,0.18715823,13.111562543583549,516.0621825354579
compas,ann,lime,,,,,,0.69788736,0.61657596,11.737353736511107,1670.644371964112
compas,ann,lime,,,,,,0.21931723,0.2559363,182.22162397952042,3103.9840201949532
compas,ann,lime,,,,,,0.04652118,0.17877257,2.665974663621947,915.3049710571186
compas,ann,lime,,,,,,0.06493717,0.15719849,62.7868886190209,2994.187825617954
compas,ann,lime,,,,,,0.010635219,0.00860485,1.387104466148438,1918.8980459600848
compas,ann,lime,,,,,,0.33017612,0.5905554,6.317818063387307,626.7321158492873
compas,ann,lime,,,,,,0.65277207,0.46982113,65.18461604521154,5043.1307797367945
compas,ann,lime,,,,,,0.1293265,0.47031656,5.840115087889424,6676.515823731552
compas,ann,lime,,,,,,0.1364929,0.18266056,35.45849025800103,2925.76361421926
compas,ann,lime,,,,,,0.81298953,0.7444332,4.353185742961822,18507.35673667561
compas,ann,lime,,,,,,0.6055743,0.5259467,65.66372295718132,1483.192991203841
compas,ann,lime,,,,,,0.609794,0.6066344,3.244686349708674,3719.536464743975
compas,ann,lime,,,,,,0.65164846,0.17363569,41.83589473983221,1986.9226398894295
compas,ann,lime,,,,,,0.24549471,0.22830275,452.3751320965451,33031.808090325714
compas,ann,lime,,,,,,0.47948003,0.5794668,14.593453027796883,729.8468666868985
compas,ann,lime,,,,,,0.11457163,0.23557982,19.811619923220086,5242.886546582319
compas,ann,lime,,,,,,0.62320554,0.4215918,223.9346865090171,6176.958400058941
compas,ann,lime,,,,,,0.73757243,0.5402312,22.88347652098137,3062.3230311080233
compas,ann,lime,,,,,,0.43512824,0.063451506,25.159130594458464,3948.104900518209
compas,ann,lime,,,,,,0.5603706,0.55965626,31.145490080950736,29362.8687589665
compas,ann,lime,,,,,,0.003147992,0.06350628,1.234816592176242,3372.077102757719
compas,ann,lime,,,,,,0.4201901,0.6039324,133.01316593240458,48022.090246449465
compas,ann,lime,,,,,,0.06676571,0.115443766,152.45708127478818,626.1764043599893
compas,ann,lime,,,,,,0.6579297,0.5212041,37.30805404380452,237718.07624104366
compas,ann,lime,,,,,,0.023913452,0.16030505,16.678650173993802,761.1036929937443
compas,ann,lime,,,,,,0.54562974,0.5391419,85.86874476382074,17129.69488156913
compas,ann,lime,,,,,,0.57860225,0.5062654,109.99642615926655,1417.4068415634613
compas,ann,lime,,,,,,0.6880477,0.40100244,76.25880385744762,16547.329603374143
compas,ann,lime,,,,,,0.91498554,0.5363233,6.1233905592669124,2122.19153636528
compas,ann,lime,,,,,,0.5784516,0.41280794,83.90994688691865,27966.26573500413
compas,ann,lime,,,,,,0.2107526,0.36218652,117.54402306215006,2497.45837248491
compas,ann,lime,,,,,,0.5446927,0.59501046,133.4319317726845,2171.9635887228037
compas,ann,lime,,,,,,0.0031517367,0.03214819,19.105568425328965,484.7805943786206
compas,ann,lime,,,,,,0.8114555,0.6402544,8.172077859685643,2641.8884377728
compas,ann,lime,,,,,,0.37671584,0.5945411,512.6377548673233,35586.74748441602
compas,ann,lime,,,,,,0.0016371221,0.0024616944,9.778791891951553,12738.035236032707
compas,ann,lime,,,,,,0.54505336,0.6422715,8.19336442984308,1190.6305529758383
compas,ann,lime,,,,,,0.36053038,0.32836172,594.6738720655467,220089.280084537
compas,ann,lime,,,,,,0.4623171,0.67720675,49.941991104455276,18281.783150655403
compas,ann,lime,,,,,,0.011255011,0.0823834,67.62062424831635,244.07502919098104
compas,ann,lime,,,,,,0.20797962,0.3687946,36.825896890125044,8936.426129804706
compas,ann,lime,,,,,,0.61127067,0.5136949,37.51528338803502,1579.9784703156229
compas,ann,lime,,,,,,0.7384403,0.6376946,95.81310294584095,406.87913944142514
compas,ann,lime,,,,,,0.46273345,0.6808847,93.14366917653071,34393.57449583302
compas,ann,lime,,,,,,0.004098875,0.044245556,0.5373799660327433,1052.0273351816243
compas,ann,lime,,,,,,0.6868705,0.30528063,58.45106149810838,1111.169844206917
compas,ann,lime,,,,,,0.22002202,0.38602665,50.59021597765403,431.68396820955365
compas,ann,lime,,,,,,0.009465913,0.058049865,2.3050529273913827,260.07258682937777
compas,ann,lime,,,,,,0.008979678,0.09915171,5.249143278696057,1371.9043728587153
compas,ann,lime,,,,,,0.8156824,0.54237235,54.530686108402705,1181.9706109099473
compas,ann,lime,,,,,,0.6445886,0.34210438,442.03157822610103,779.9997765466195
compas,ann,lime,,,,,,0.029134745,0.15166198,9.588225137958656,1962.25157190925
compas,ann,lime,,,,,,0.4724691,0.7708099,404.9367441567321,2429.6059373165212
compas,ann,lime,,,,,,0.0036167663,0.014443082,15.30871729417422,634.709327992174
compas,ann,lime,,,,,,0.7185489,0.49656352,75.77448261884192,1521.5996681714385
compas,ann,lime,,,,,,0.5417432,0.45130736,80.55852539150168,54091.67360856747
compas,ann,lime,,,,,,0.4139626,0.30396187,4.195575471231117,952.7533499257536
compas,ann,lime,,,,,,0.021234784,0.07916695,32.80340374453015,294.2686236227521
compas,ann,lime,,,,,,0.40831605,0.36812487,430.4018760607948,166575.02816063055
compas,ann,lime,,,,,,0.39435345,0.4122428,502.00481965940185,8601.11576275873
compas,ann,lime,,,,,,0.47344702,0.4263327,72.67993675593695,4437.463325064788
compas,ann,lime,,,,,,0.45867586,0.44066122,1352.8745691586862,6218.713753504732
compas,ann,lime,,,,,,0.6174465,0.62381285,9.227972546782311,5646.360322257507
compas,ann,lime,,,,,,0.28369057,0.5365042,50.92688610491326,5399.568709214271
compas,ann,lime,,,,,,0.059035454,0.32624838,11.859147336234765,5687.951671293781
compas,ann,lime,,,,,,0.15579726,0.32135406,3.3362630173929544,5869.428398566298
compas,ann,lime,,,,,,0.57429504,0.3628372,590.3116917259398,5050.535683545127
compas,ann,lime,,,,,,0.5492102,0.2948647,42.48248832368502,43001.85116559794
compas,ann,ig,,,,,,0.4039328,0.73251146,245045.0577719262,106669.14210420537
compas,ann,ig,,,,,,0.46927464,0.4562662,402.02411137597056,532.0920615620057
compas,ann,ig,,,,,,0.51595426,0.54051757,183.8722008446313,2074.4948478152774
compas,ann,ig,,,,,,0.14655136,0.13398139,498.62463763069036,144074.28801428422
compas,ann,ig,,,,,,0.60772395,0.64744014,7902.1926752193685,305886.43096249545
compas,ann,ig,,,,,,0.56222934,0.45184028,857.1829282106019,64090.99806132789
compas,ann,ig,,,,,,0.74763525,0.6618997,74.29535586067861,6499.639275868815
compas,ann,ig,,,,,,0.42997724,0.49540767,75.62028752032268,2068.337417254646
compas,ann,ig,,,,,,0.7254505,0.6199881,766.1054414804428,285585.98176307784
compas,ann,ig,,,,,,0.12540424,0.08660553,87077.86971517107,105661.73879094758
compas,ann,ig,,,,,,0.018360829,0.12269742,68.67036980059463,865.4516879940907
compas,ann,ig,,,,,,0.59679586,0.5142126,313.27121265340963,9972.15960780787
compas,ann,ig,,,,,,0.8097079,0.2899999,1239.1059373553664,619.7557886352815
compas,ann,ig,,,,,,0.22595516,0.3814104,166.74777570913088,4169.041997221811
compas,ann,ig,,,,,,0.57187265,0.49518985,449.9418426456181,1938.7786140598403
compas,ann,ig,,,,,,0.5594236,0.64619094,195882.21941905151,95059.7179321016
compas,ann,ig,,,,,,0.4742277,0.4487197,1070.1669411021087,7255.4520934763605
compas,ann,ig,,,,,,0.62614155,0.38805094,372.62908175079787,55868.98203005121
compas,ann,ig,,,,,,0.17815931,0.25846952,1310.1124734945477,53674.711181106395
compas,ann,ig,,,,,,0.020536572,0.17446128,17.028347698474143,648.0530490747137
compas,ann,ig,,,,,,0.6135181,0.6285481,31.057906215067582,2158.070230656167
compas,ann,ig,,,,,,0.25761095,0.3799435,146.94981330803387,2747.339556572184
compas,ann,ig,,,,,,0.44761753,0.41312137,211569.36779446123,189786.78598429784
compas,ann,ig,,,,,,0.0060857004,0.048315868,23.989972711599396,1771.5644090226401
compas,ann,ig,,,,,,0.19967248,0.45029327,256.36794818500357,2940.5671705525374
compas,ann,ig,,,,,,0.5230439,0.28524256,482.0624709488224,14096.183580528872
compas,ann,ig,,,,,,0.017679002,0.05032292,21.30780610305427,564.1512780904584
compas,ann,ig,,,,,,0.40619135,0.45142525,34039.55723791713,1165282.4648613539
compas,ann,ig,,,,,,0.0022660126,0.024373667,33.960249332959165,23350.544402743675
compas,ann,ig,,,,,,0.50858223,0.38044664,197.68677949251853,2151.6442750799547
compas,ann,ig,,,,,,0.0418289,0.2104281,364.0178549436655,1020.3179113483014
compas,ann,ig,,,,,,0.0036440138,0.01068669,128.30889295154773,732.7884102631774
compas,ann,ig,,,,,,0.4308598,0.53774273,1046.871904416144,766.7656624180454
compas,ann,ig,,,,,,0.08995264,0.15259656,17.3491069923002,873.4828718224047
compas,ann,ig,,,,,,0.34360906,0.65251255,318.220982616436,2443.4207316682005
compas,ann,ig,,,,,,0.7263503,0.53018117,226.98269857821336,263727.04419638164
compas,ann,ig,,,,,,0.8078609,0.598494,29.26720547753625,1950.998982409081
compas,ann,ig,,,,,,0.61754364,0.20834048,54.162353649955385,1030.4501522545193
compas,ann,ig,,,,,,0.44418073,0.45290446,468.02912346447505,10027.711828505458
compas,ann,ig,,,,,,0.7960259,0.58314973,399.1891895107594,3302.279645762319
compas,ann,ig,,,,,,0.7315882,0.47214565,476.9956548685316,6209.4027959821915
compas,ann,ig,,,,,,0.23226088,0.14491928,1634.272437451745,79933.40088114433
compas,ann,ig,,,,,,0.29845843,0.38913432,408.0131157414473,268651.6538090667
compas,ann,ig,,,,,,0.6281601,0.32712656,534.5343663528597,2019.8894637179783
compas,ann,ig,,,,,,0.7445066,0.69759446,47.567408334654495,2410.234337833716
compas,ann,ig,,,,,,0.26642057,0.15164915,479.5436674538722,8060.1080662557
compas,ann,ig,,,,,,0.5765582,0.5745006,118643.40338751553,14867748.088447947
compas,ann,ig,,,,,,0.6157798,0.41505063,369.9070810214227,1923.6845162647562
compas,ann,ig,,,,,,0.0012436615,0.021824313,6.068703217091336,4980.800992636216
compas,ann,ig,,,,,,0.3105355,0.35478815,28.409457285183343,1477.3279744835293
compas,ann,ig,,,,,,0.11581579,0.3189407,399.3434814085302,2228.5176563845403
